criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"11475","11474","1","3834"
"11476","9536","1","3834"
"11478","11477","1","3834"
"11485","11484","1","3834"
"11494","11493","1","3834"
"11496","11495","1","3834"
"11501","11500","1","3834"
"11507","11506","1","3834"
"11510","11509","1","3834"
"11518","11515","1","3834"
"11518","11516","2","3834"
"11518","11517","3","3834"
"11530","11529","1","3834"
"11535","11534","1","3834"
"11538","11537","1","3834"
"11569","11568","1","3834"
"11571","11570","1","3834"
"11573","11572","1","3834"
"11593","11592","1","3834"
"11600","11599","1","3834"
"11607","11606","1","3834"
"11611","11610","1","3834"
"11646","11644","1","3834"
"11646","11645","2","3834"
"11646","10280","3","3834"
"11670","11668","1","3834"
"11670","11669","2","3834"
"11694","11693","1","3834"
"11726","11725","1","3834"
"11728","11727","1","3834"
"11730","11729","1","3834"
"11750","11749","1","3834"
"11754","11753","1","3834"
"11775","11774","1","3834"
"11786","11785","1","3834"
"11797","11796","1","3834"
"11891","11890","1","3834"
"11916","11915","1","3834"
"11930","11929","1","3834"
"11978","11976","1","3834"
"11978","11977","2","3834"
"11980","11979","1","3834"
"11983","11982","1","3834"
"11989","11988","1","3834"
"12000","11999","1","3834"
"12002","12001","1","3834"
"12028","12027","1","3834"
"12049","12048","1","3834"
"12113","12112","1","3834"
"12127","12126","1","3834"
"12134","12133","1","3834"
"12147","12146","1","3834"
"12170","12169","1","3834"
"12172","12171","1","3834"
"12174","12173","1","3834"
"12178","12177","1","3834"
"12180","12179","1","3834"
"12183","12182","1","3834"
"12185","12184","1","3834"
"12187","12184","1","3834"
"12187","12179","2","3834"
"12201","12200","1","3834"
"12233","12227","1","3834"
"12233","12232","2","3834"
"12247","12246","1","3834"
"12256","11257","1","3834"
"12256","12255","2","3834"
"12273","12272","1","3834"
"12275","12274","1","3834"
"12278","12277","1","3834"
"12280","12279","1","3834"
"12315","12314","1","3834"
"12323","12322","1","3834"
"12325","12324","1","3834"
"12372","12371","1","3834"
"12389","12388","1","3834"
"12429","12428","1","3834"
"12530","12529","1","3834"
"12537","12536","1","3834"
"12680","12679","1","3834"
"12683","12682","1","3834"
"12686","12685","1","3834"
"12689","12688","1","3834"
"12736","12735","1","3834"
"12740","12739","1","3834"
"12756","12755","1","3834"
"12768","12767","1","3834"
"12771","12770","1","3834"
"12783","12782","1","3834"
"12786","12785","1","3834"
"12808","12627","1","3834"
"12808","12628","2","3834"
"12808","12807","3","3834"
"12842","12841","1","3834"
"12848","12846","1","3834"
"12848","12847","2","3834"
"12862","10111","1","3834"
"12862","12861","2","3834"
"12906","12905","1","3834"
"12908","7911","1","3834"
"12924","12923","1","3834"
"12955","12954","1","3834"
"12971","12970","1","3834"
"13010","13009","1","3834"
"13012","13011","1","3834"
"13020","13019","1","3834"
"13023","13022","1","3834"
"13025","13024","1","3834"
"13028","13027","1","3834"
"13035","13034","1","3834"
"13037","13036","1","3834"
"13045","13044","1","3834"
"13049","13048","1","3834"
"13053","13052","1","3834"
"13069","13068","1","3834"
"13089","13088","1","3834"
"13093","13092","1","3834"
"13118","13117","1","3834"
"13120","13119","1","3834"
"13127","13125","1","3834"
"13127","13126","2","3834"
"13131","13126","1","3834"
"13134","9505","1","3834"
"13134","13133","2","3834"
"13190","13189","1","3834"
"13249","13248","1","3834"
"13253","13252","1","3834"
"13277","13276","1","3834"
"13328","13327","1","3834"
"13348","13347","1","3834"
"13389","13388","1","3834"
"13400","13399","1","3834"
"13403","13402","1","3834"
"13411","13410","1","3834"
"13418","13417","1","3834"
"13422","13421","1","3834"
"13453","13447","1","3834"
"13453","13451","2","3834"
"13488","13487","1","3834"
"13493","13492","1","3834"
"13552","13551","1","3834"
"13561","13560","1","3834"
"13580","8051","1","3834"
"13580","13593","2","3834"
"13591","13590","1","3834"
"13595","10111","1","3834"
"13595","13593","2","3834"
"13606","13605","1","3834"
"13622","13621","1","3834"
"13627","13626","1","3834"
"13652","13650","1","3834"
"13652","13651","2","3834"
"13669","13668","1","3834"
"13671","13670","1","3834"
"13699","13698","1","3834"
"13707","13706","1","3834"
"13721","13720","1","3834"
"13733","13732","1","3834"
"13740","13739","1","3834"
"13744","13743","1","3834"
"13769","13768","1","3834"
"13778","13777","1","3834"
"13792","13791","1","3834"
"13797","13796","1","3834"
"13812","13811","1","3834"
"13818","13817","1","3834"
"13820","13819","1","3834"
"13829","13825","1","3834"
"13829","13826","2","3834"
"13829","13827","3","3834"
"13829","13828","4","3834"
"13878","13877","1","3834"
"13881","13880","1","3834"
"13889","13888","1","3834"
"13920","13919","1","3834"
"13923","13922","1","3834"
"13928","13927","1","3834"
"13935","13934","1","3834"
"13937","13936","1","3834"
"13941","13940","1","3834"
"13945","13944","1","3834"
"13951","13950","1","3834"
"13956","13955","1","3834"
"13972","13962","1","3834"
"13972","13963","2","3834"
"13972","13971","3","3834"
"13972","13965","4","3834"
"13972","13966","5","3834"
"14012","14011","1","3834"
"14014","14013","1","3834"
"14016","14015","1","3834"
"14020","14019","1","3834"
