pbs_code,prescribing_txt_id,pt_position,schedule_code
"10698C","8758","3","3834"
"10698C","8759","4","3834"
"10713W","8211","1","3834"
"10713W","8757","2","3834"
"10713W","8758","3","3834"
"10713W","8759","4","3834"
"10714X","12912","1","3834"
"10714X","30999","2","3834"
"10714X","7607","3","3834"
"10729Q","8211","1","3834"
"10729Q","7607","2","3834"
"10731T","12912","1","3834"
"10731T","30999","2","3834"
"10731T","7607","3","3834"
"10732W","22470","1","3834"
"10732W","18495","2","3834"
"10732W","30379","3","3834"
"10737D","8211","1","3834"
"10737D","8757","2","3834"
"10737D","8758","3","3834"
"10737D","8759","4","3834"
"10738E","8211","1","3834"
"10738E","8757","2","3834"
"10738E","8758","3","3834"
"10738E","8759","4","3834"
"10743K","14726","1","3834"
"10743K","7607","2","3834"
"10745M","7607","1","3834"
"10745M","7608","2","3834"
"10746N","8211","1","3834"
"10746N","25651","2","3834"
"10746N","25574","3","3834"
"10748Q","7607","1","3834"
"10748Q","7608","2","3834"
"10755C","8211","1","3834"
"10755C","25651","2","3834"
"10755C","25574","3","3834"
"10756D","8211","1","3834"
"10756D","25651","2","3834"
"10756D","25574","3","3834"
"10757E","8211","1","3834"
"10757E","25651","2","3834"
"10757E","25574","3","3834"
"10758F","8211","1","3834"
"10758F","25651","2","3834"
"10758F","25574","3","3834"
"10764M","7607","1","3834"
"10764M","7608","2","3834"
"10767Q","32663","1","3834"
"10767Q","7606","2","3834"
"10767Q","7607","3","3834"
"10770W","8211","1","3834"
"10770W","25651","2","3834"
"10770W","25574","3","3834"
"10774C","32663","1","3834"
"10774C","33164","2","3834"
"10774C","29791","3","3834"
"10774C","7606","4","3834"
"10774C","7607","5","3834"
"10775D","7607","1","3834"
"10775D","7608","2","3834"
"10776E","8211","1","3834"
"10776E","25651","2","3834"
"10776E","25574","3","3834"
"10777F","9977","1","3834"
"10779H","9977","1","3834"
"10781K","9977","1","3834"
"10784N","16745","1","3834"
"10788T","18775","1","3834"
"10798H","7606","1","3834"
"10798H","7607","2","3834"
"10798H","28496","3","3834"
"10803N","7606","1","3834"
"10803N","7607","2","3834"
"10803N","28496","3","3834"
"10811B","7606","1","3834"
"10811B","7607","2","3834"
"10811B","28496","3","3834"
"10817H","7606","1","3834"
"10817H","7607","2","3834"
"10817H","28496","3","3834"
"10849B","16866","1","3834"
"10857K","16866","1","3834"
"10858L","8211","1","3834"
"10858L","13808","2","3834"
"10861P","33164","1","3834"
"10861P","29791","2","3834"
"10861P","28088","3","3834"
"10861P","7607","4","3834"
"10862Q","8211","1","3834"
"10863R","8211","1","3834"
"10863R","13808","2","3834"
"10863R","18949","3","3834"
"10864T","8211","1","3834"
"10864T","25598","2","3834"
"10864T","18949","3","3834"
"10864T","25574","4","3834"
"10865W","14559","1","3834"
"10865W","14562","2","3834"
"10865W","33164","3","3834"
"10865W","29791","4","3834"
"10865W","28088","5","3834"
"10866X","33164","1","3834"
"10866X","29791","2","3834"
"10866X","28088","3","3834"
"10866X","7607","4","3834"
"10867Y","33164","1","3834"
"10867Y","29791","2","3834"
"10867Y","28088","3","3834"
"10867Y","7607","4","3834"
"10868B","8211","1","3834"
"10869C","8211","1","3834"
"10869C","25598","2","3834"
"10869C","25574","3","3834"
"10870D","7776","1","3834"
"10871E","7776","1","3834"
"10872F","33164","1","3834"
"10872F","29791","2","3834"
"10872F","28088","3","3834"
"10872F","7607","4","3834"
"10873G","33164","1","3834"
"10873G","29791","2","3834"
"10873G","28088","3","3834"
"10873G","7607","4","3834"
"10874H","8211","1","3834"
"10874H","25598","2","3834"
"10874H","25574","3","3834"
"10876K","14559","1","3834"
"10876K","14562","2","3834"
"10876K","33164","3","3834"
"10876K","29791","4","3834"
"10876K","28088","5","3834"
"10877L","14559","1","3834"
"10877L","14562","2","3834"
"10877L","33164","3","3834"
"10877L","29791","4","3834"
"10877L","28088","5","3834"
"10878M","8211","1","3834"
"10878M","25598","2","3834"
"10878M","25574","3","3834"
"10880P","7608","1","3834"
"10882R","7608","1","3834"
"10883T","7608","1","3834"
"10884W","7608","1","3834"
"10886Y","7608","1","3834"
"10887B","7608","1","3834"
"1088G","14417","1","3834"
"10890E","32678","1","3834"
"10890E","7608","2","3834"
"10891F","28584","1","3834"
"10892G","7606","1","3834"
"10892G","7607","2","3834"
"10893H","32678","1","3834"
"10893H","7608","2","3834"
"10894J","32663","1","3834"
"10894J","7606","2","3834"
"10894J","7607","3","3834"
"10894J","7608","4","3834"
"10895K","32663","1","3834"
"10895K","7606","2","3834"
"10895K","7607","3","3834"
"10895K","7608","4","3834"
"10896L","32663","1","3834"
"10896L","7606","2","3834"
"10896L","7607","3","3834"
"10897M","32678","1","3834"
"10897M","7606","2","3834"
"10898N","32663","1","3834"
"10898N","7606","2","3834"
"10898N","7607","3","3834"
"10898N","7608","4","3834"
"10899P","32663","1","3834"
"10899P","7606","2","3834"
"10899P","7607","3","3834"
"10899P","7608","4","3834"
"10900Q","32663","1","3834"
"10900Q","7606","2","3834"
"10900Q","7607","3","3834"
"10900Q","7608","4","3834"
"10901R","32663","1","3834"
"10901R","7606","2","3834"
"10901R","7607","3","3834"
"10901R","7608","4","3834"
"10902T","28584","1","3834"
"10904X","32678","1","3834"
"10904X","7606","2","3834"
"10905Y","31231","1","3834"
"10905Y","7606","2","3834"
"10906B","32678","1","3834"
"10906B","7608","2","3834"
"10907C","7607","1","3834"
"10908D","28584","1","3834"
"10909E","32663","1","3834"
"10909E","7606","2","3834"
"10909E","7607","3","3834"
"1090J","14417","1","3834"
"10910F","31110","1","3834"
"10910F","7606","2","3834"
"10910F","7607","3","3834"
"10910F","7608","4","3834"
"10911G","18444","1","3834"
"10911G","7606","2","3834"
"10911G","7607","3","3834"
"10912H","23761","1","3834"
"10913J","17936","1","3834"
"10913J","33364","2","3834"
"10913J","25796","3","3834"
"10913J","7608","4","3834"
